var1,var2,var3,var4,var5,var6,mf
607.4721,12098,1.9,258,0.1,0.0502,C40HNO7
608.0414,12425,8.5,1156,0.6,0.0489,C40H69N3O
608.432,11275,1.8,252,0.1,0.054,C35N2O10
608.4776,14396,1.7,227,0.1,0.0423,C33N6O8
609.0412,9616,4.6,627,0.3,0.0633,C28H68N10O4
609.4207,17967,2.4,334,0.2,0.0339,C36H3NO10
609.4522,12201,1.6,220,0.1,0.05,C36H3NO10
609.5488,13998,2.1,287,0.1,0.0435,C39H7N5O4
610.0407,12934,23.5,3204,1.6,0.0472,C32H67N9O2
610.4612,14490,2.2,296,0.1,0.0421,C35H2N2O10
610.5472,10796,2.2,302,0.1,0.0566,C42H10O6
610.8982,11975,2.2,300,0.1,0.051,C37H50N6O2
611.0455,13463,10.3,1408,0.7,0.0454,C45H70
611.456,18246,1.9,266,0.1,0.0335,C34HN3O10
611.4698,16585,2.1,284,0.1,0.0369,C39HNO8
611.5638,62649,1.7,230,0.1,0.0098,C38H13NO8
611.9676,10959,4.1,555,0.3,0.0558,C26H61N9O7
612.0453,14648,3.9,532,0.3,0.0418,C33H69N7O3
612.4706,13893,3.3,454,0.2,0.0441,C32N6O9
612.893,11478,1.6,217,0.1,0.0534,C40H48N6
612.9693,17502,1.8,250,0.1,0.035,C46H60
613.0521,19016,1.8,240,0.1,0.0322,C31H68N10O2
613.4727,16155,2.1,292,0.1,0.038,C34H3N3O10
613.9622,16345,2.9,390,0.2,0.0376,C28H63N5O9
614.4868,12471,1.8,242,0.1,0.0493,C32H2N6O9
